patent_id,title,abstract,ipc_codes,cpc_codes,cites,cited_by,publication_year
005-375-741-406-386,Article storage equipment in semiconductor fabrication facility and logistics system including same,"Proposed are article storage equipment in a semiconductor fabrication facility, the article storage equipment being capable of power supply with a more simplified configuration, and a logistics system of a semiconductor fabrication facility including the same. Article storage equipment in a semiconductor fabrication facility according to one aspect includes a storage unit installed around a rail that provides a travel route of a transport vehicle and configured to store a transport container in which a wafer is accommodated, a purge unit configured to supply an inert gas into the transport container, a control unit configured to identify the transport container stored in the storage unit and control the purge unit to supply the inert gas into the transport container, and a power supply unit configured to supply a current induced from a power supply cable installed along the rail to the control unit.",H01L21/677; H01L21/673,H01L21/67769; H01L21/67389; H01L21/67709; H01L21/67724; H01L21/67766,128-442-214-919-478; 188-159-510-139-428,,2026
155-724-909-616-187,"Semiconductor device, method for manufacturing same, and electric power converter","In a semiconductor device, a first structure including a first uneven unit and a second structure covering the first structure and including a second uneven unit are formed in a bonding region defined in a semiconductor substrate. Metal wiring is joined to the second uneven unit in the second structure. A depth of a recess in the second uneven unit is shallower than a depth of a recess in the first uneven unit. An insulating member defining the bonding region is formed so as to reach the semiconductor substrate.",H01L23/00; H02M7/5387,H01L24/05; H01L24/03; H01L24/06; H01L24/45; H01L24/85; H01L2224/03614; H01L2224/04042; H01L2224/05012; H01L2224/05186; H01L2224/05557; H01L2224/05655; H01L2224/05657; H01L2224/05671; H01L2224/0603; H01L2224/45147; H01L2224/85; H02M7/53871,,,2026
159-608-909-080-551,Power rail and signal line arrangement in integrated circuits having stacked transistors,"An integrated circuit device includes a first-type transistor having a channel region in a first-type active-region semiconductor structure and a second-type transistor having a channel region in a second-type active-region semiconductor structure which is stacked with the first-type active-region semiconductor structure. In the integrated circuit, a front-side power rail and a front-side signal line in a front-side conductive layer extend in the first direction is, and a back-side power rail and a back-side signal line in a back-side conductive layer also extend in the first direction. The front-side conductive layer is above the first-type active-region semiconductor structure and the second-type active-region semiconductor structure, while the back-side conductive layer is below the first-type active-region semiconductor structure and the second-type active-region semiconductor structure.",H01L23/528; H10D62/10; H10D84/01; H10D84/03; H10D84/83,H01L23/5286; H10D62/118; H10D62/119; H10D84/0149; H10D84/038; H10D84/83,167-893-337-547-528; 100-145-946-541-899; 159-844-256-223-82X; 101-652-612-966-945; 008-042-966-375-414,,2026
060-807-272-986-445,Cutting area pathway for display module,"A display module includes a thin film transistor (TFT) substrate including a glass substrate, a TFT layer provided on the glass substrate, and a plurality of TFT electrodes provided on the TFT layer; and a plurality of light-emitting diodes (LEDs) electrically connected to the plurality of TFT electrodes, wherein the TFT layer includes a plurality of sacrificial switching elements connected to the plurality of LEDs in parallel and configured to absorb static electricity generated at the TFT layer.",H01L27/15; H01L25/075; H01L29/26; H01L31/12; H01L33/00; H10H20/831; H10H20/857,H10H20/857; H01L25/0753; H10H20/8312,111-045-156-195-435; 082-815-423-757-745; 142-273-624-324-269; 038-232-217-869-922; 165-260-017-436-092; 163-905-517-507-558; 039-135-875-273-938; 046-183-436-920-486,,2026
048-180-540-632-23X,Asymmetric source and drain contacts for a thin film transistor (TFT) structure,"Techniques are provided for making asymmetric contacts to improve the performance of thin film transistors (TFT) structures. The asymmetry may be with respect to the area of contact interface with the semiconductor region and/or the depth to which the contacts extend into the semiconductor region. According to some embodiments, the TFT structures are used in memory structures arranged in a two-dimensional array within one or more interconnect layers and stacked in a vertical direction such that multiple tiers of memory structure arrays are formed within the interconnect region. Any of the given TFT structures may include asymmetric contacts, such as two contacts that each have a different contact area to a semiconductor region, and/or that extend to different depths within the semiconductor region. The degree of asymmetry may be tuned during fabrication to modulate certain transistor parameters such as, for example, leakage, capacitance, gate control, channel length, or contact resistance.",H10D30/67; H01L23/522; H10B12/00,H10D30/6713; H01L23/5226; H10B12/30; H10D30/6729; H10D30/6755,,,2026
198-729-655-525-797,Two-rotation gate-edge diode leakage reduction for MOS transistors,"An integrated circuit is fabricated by forming transistors having gates of orthogonal orientations and implanting, at two first rotations, a first pocket implant using a first dopant type with a masking pattern on a substrate surface layer, the two first rotations respectively forming two first pocket implantation angles and two first pocket implantation beam orientations, and implanting, at two second rotations, a retrograde gate-edge diode leakage (GDL) reduction pocket implant using a second dopant type with the masking pattern on the substrate surface layer, the two second rotations respectively forming two GDL-reduction implantation angles and two GDL-reduction implantation beam orientations. Owing to the different symmetries in implantation angles seen by the two orientations of transistors, leakage is reduced for transistors of both orientations and mismatch is maintained for transistors of one of the orientations, making these transistors suitable for use in analog circuits requiring matched pairs of transistors.",H10D30/60; H01L21/265; H01L21/266; H10D30/01; H10D62/10; H10D62/13; H10D62/17; H10D62/834; H10D84/01; H10D84/03; H10D84/83,H10D30/601; H01L21/26513; H01L21/26586; H01L21/266; H10D30/022; H10D62/834; H10D84/013; H10D84/038; H10D84/83,046-604-248-455-09X; 158-012-141-623-796,,2026
068-829-987-433-391,Optical sensors for measuring properties of consumable parts in a semiconductor plasma processing chamber,"A method of manufacturing semiconductor devices includes repeatedly performing a transfer operation which transfers each of a plurality of semiconductor wafers between a substrate handling module and a processing chamber through a wafer access port, the processing chamber including at least one consumable component. Using the processing chamber, a semiconductor manufacturing process is performed on each of the plurality of semiconductor wafers; and detecting an optical signal from the at least one consumable component during a time when the processing chamber is not performing the semiconductor manufacturing process on the wafers.",H01L21/68; H01J37/32; H01L21/677,H01L21/681; H01J37/32642; H01L21/67742,122-211-370-967-176; 099-987-147-579-900; 111-644-385-938-815; 198-834-348-081-107; 133-719-501-163-052; 081-920-447-943-495; 001-755-197-638-245; 149-209-051-606-469; 129-353-914-190-798; 158-028-803-336-785; 163-918-029-043-726; 089-800-251-617-350; 025-105-254-425-235,,2026
167-538-536-270-086,Antenna device,"An antenna device includes substrate layers, metallic layers, a non-shielding channel, an electronic component, a shielding layer and an antenna unit. The substrate layers include an upper substrate layer and a lower substrate layer located on two sides respectively. The metallic layers are disposed on the substrate layers. The non-shielding channel is at least defined at the upper substrate layer and communicates with the inner and outer surfaces of the upper substrate layer without being interfered by the first metallic layer. The electronic component is disposed on the outer surface of the upper substrate layer and corresponds to and at least partially covers the non-shielding channel. The shielding layer electrically shields the electronic component and is electrically connected to the first metallic layer. The antenna unit is disposed on an outer surface of the lower substrate layer and electrically coupled to the electronic component.",H01Q1/22; H01L23/498; H01L23/552; H01L23/66; H01Q9/04,H01Q1/2283; H01L23/49822; H01L23/49838; H01L23/552; H01L23/66; H01Q9/0414; H01Q9/0457; H01L2223/6616; H01L2223/6677,168-806-191-826-011,,2026
116-007-163-956-874,Substrate treating apparatus and substrate transporting method,"A substrate treating apparatus and a substrate transporting method wherein a platform is disposed on a first ID block, and a platform is placed on a second ID block. A currently-used carrier platform is provided only on the first ID block. Accordingly, a substrate is transported in both a forward path and a return path between the first ID block and a second treating block. The substrate is returned not to the first ID block but to the second ID block disposed between the two treating blocks in the return path.",H01L21/677; B08B1/36; B08B3/00; B08B3/04,B08B3/00; B08B1/36; B08B3/04; H01L21/67745; H01L21/67775; H01L21/67778,195-539-369-263-793; 011-762-256-143-575; 196-709-230-865-066; 154-993-663-453-734; 176-509-778-141-766; 076-103-873-135-73X; 170-059-919-399-020; 055-850-648-232-565,,2026
114-870-901-398-478,"Methods for assembling stacked substrate packages including dies, laminated base substrates, and dielectric build-up substrates","A method for assembling a stacked substrate package includes: a) binding a laminated base substrate, configured to route interconnections between first and second surfaces of the laminated base substrate, to a rigid carrier to prevent warping of the laminated base substrate; b) coupling an integrated circuit die to a dielectric build-up substrate to form a substrate stack, where the dielectric build-up substrate routes interconnections between first and second surfaces of the dielectric build-up substrate; c) coupling the second surface of the dielectric build-up substrate to the laminated base substrate; and d) releasing the rigid carrier from the laminated base substrate. At least one of: a) is performed before b) and c), b) and c) are performed at the same time, and d) is performed after a), b) and c); or b) is performed before c), c) is performed after a), and d) is performed after a), b) and c).",H01L21/683; H01L23/00; H01L23/498,H01L21/6835; H01L23/49816; H01L23/49822; H01L23/49833; H01L24/16; H01L24/32; H01L24/73; H01L24/81; H01L2224/16225; H01L2224/32225; H01L2224/73204; H01L2924/15311; H01L2924/3511,,,2026
